timestep,reward
2386248,-0.22
2390803,-0.1
2395318,-0.18
2399874,0.02
2404897,-0.2
2409360,0.16
2414274,-0.08
2418458,-0.24
2423058,0.04
2427777,0.1
2432497,0.1
2437519,0.08
2442102,0.06
2446421,-0.06
2451219,-0.3
2455550,0.06
2459780,0.08
2464317,-0.04
2468715,0.08
2473267,0.08
2477948,-0.02
2482358,0.02
2486428,-0.18
2490562,0.06
2495596,-0.02
2499468,-0.12
2504880,-0.06
2509022,0.14
2513737,0.02
2518061,-0.02
2522578,0.02
2527675,-0.04
2532571,0.12
2537478,-0.06
2542084,0.04
2546680,-0.02
2550602,-0.28
2554686,0.02
2559560,-0.02
2563780,-0.02
2568403,0.08
2572659,0.08
2577441,-0.06
2582031,0.18
2586573,0.0
2591493,-0.04
2595940,-0.22
2600953,0.02
2605587,-0.18
2609934,0.12
2614486,0.04
2618864,-0.02
2623311,0.02
2628038,0.12
2632613,-0.1
2636897,0.02
2641349,0.0
2646102,0.0
2650843,0.1
2655373,0.0
2659800,-0.02
2664518,0.12
2669012,0.12
2673330,0.04
2678003,0.0
2682497,0.0
2686929,-0.04
2691500,-0.12
2696634,0.18
2701552,-0.08
2706306,-0.02
2710699,-0.02
2715473,0.1
2719708,0.1
2724410,-0.22
2728922,-0.06
2733650,0.02
2738570,-0.04
2743298,-0.1
2747518,0.22
2751869,0.1
2755949,-0.24
2760430,0.04
2764614,0.0
2769475,-0.04
2774227,-0.04
2778728,-0.08
2783265,-0.06
2787528,0.06
2792669,-0.06
2796726,0.1
2801412,-0.14
2805993,-0.04
2810355,-0.06
2814790,0.12
2819295,-0.16
2823971,-0.2
2828583,-0.22
2833078,0.02
2837727,-0.14
2843083,-0.08
2847402,-0.04
2851870,0.02
2856215,-0.12
2860278,0.08
2864531,0.16
2869197,-0.06
2873133,-0.08
2877454,0.04
2882039,0.04
2886647,0.14
2890834,-0.04
2894949,-0.14
2899724,0.08
2904341,-0.16
2908449,0.0
2912611,-0.1
2916816,-0.06
2920956,-0.06
2925120,0.04
2929737,-0.1
2934417,-0.08
2939388,0.1
2944107,-0.16
2948332,0.02
2953010,-0.12
2957614,0.1
2962117,0.04
2966262,0.1
2970742,0.1
2975566,-0.1
2980322,-0.02
2984998,0.1
2989443,-0.06
2994075,0.0
2998633,0.1
3003789,0.12
3008585,-0.02
3013949,0.02
3018627,0.12
3023498,0.06
3027661,-0.12
3031891,0.06
3036619,-0.06
3041204,0.02
3046212,0.06
3051236,0.06
3056044,-0.08
3060263,-0.12
3065171,0.0
3069724,-0.04
3073785,-0.04
3078726,0.06
3083531,-0.04
3088408,0.06
3093059,-0.04
3097619,-0.02
3102760,0.04
3106599,0.02
3110793,0.08
3115325,-0.12
3120109,0.06
3124456,0.08
3129461,0.04
3133747,-0.04
3138403,-0.02
3142686,-0.1
3146716,-0.16
3150634,-0.22
3155357,-0.1
3160220,0.1
3164412,-0.2
3169469,0.0
3173689,0.06
3177633,0.02
3182358,-0.18
3187449,0.06
3191551,-0.12
3195776,0.02
3200645,0.02
3205373,0.2
3209732,-0.1
3214413,-0.06
3218807,0.06
3223321,0.08
3228215,0.1
3232560,-0.26
3237020,-0.02
3241065,-0.14
3245677,-0.06
3250263,0.02
3255716,0.0
3260119,-0.1
3264944,0.04
3268963,0.0
3273400,0.04
3277983,-0.02
3282231,-0.1
3286467,-0.16
3291084,0.14
3295669,0.18
3300584,-0.1
3304860,0.1
3309300,0.08
3313587,0.12
3318732,0.18
3323358,-0.1
3327985,-0.02
3332651,-0.04
3337139,-0.18
3341988,0.06
3346902,-0.12
3351212,0.06
3356101,0.04
3360474,-0.06
3365012,-0.2
3369842,0.14
3375051,0.2
3380133,-0.04
3384436,0.1
3388408,0.02
3392419,-0.2
3396939,-0.08
3401366,0.08
3405375,-0.02
3409798,0.18
3413904,-0.02
3418352,0.02
3422768,0.0
3427651,0.22
3432153,0.04
3437367,0.04
3441562,-0.06
3446439,-0.04
3450916,-0.12
3455573,-0.02
3460439,0.06
3464977,-0.1
3469807,-0.04
3474209,0.08
3478566,0.06
3482957,0.02
3487542,0.06
3492053,0.14
3497537,0.14
3501961,0.08
3506735,-0.18
